,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.132417496,0.249354171,0.463132762,0.71245705,1.044317524,1.333740807,1.717050476,1.908816407,2.743964274,3.546127347,3.721144908,5.168112176,5.60002475,7.075606115,9.034143057,10.04353722,13.12391435,17.14347581,19.59666543,26.130571,30.13780923,35.86919826,44.405439,50.50982535,73.7519858,81.84337201,100.5790415,126.1209604,148.8498827
0,0.087558465,0.336622855,0.437564385,0.79314355,0.983372365,1.176384245,1.525693674,2.180436187,2.659969431,3.521828741,4.318925015,4.810721669,6.523314137,7.263281624,8.592001689,10.57163546,13.36821299,15.88601002,18.31716691,24.30042795,30.16263112,35.15571372,42.03317077,60.1107437,67.12959475,84.86576841,91.51637424,112.6413422,136.6181947
0,0.017997473,0.319955071,0.58508108,0.757784712,0.994480352,1.497921516,1.586729215,2.155464876,2.845617326,3.442688447,4.337470507,4.920651907,6.487321509,6.940796893,9.262657691,12.07188957,14.54012177,17.9822785,18.43767691,24.79041722,31.95540209,38.86877457,41.21561033,58.43658532,61.41786682,84.80560571,91.25499261,133.764227,138.0736024
0,0.102183196,0.205563761,0.629300254,0.672337773,1.130551149,1.223353792,1.607109569,2.314662921,2.623870211,3.273805591,4.222279514,4.816647289,6.2943117,8.08621576,9.833020732,10.78063399,12.71719502,16.49194217,19.46298329,23.15585024,30.08327255,36.57884107,41.71767962,60.57116959,61.93833994,88.5401004,103.3415374,112.7565152,144.0791048
0,0.055167753,0.382750682,0.496868548,0.80174718,0.996462934,1.22173624,1.850897662,2.123576021,2.799544745,3.184506115,4.292785657,4.660956059,5.627575516,7.10262994,9.219792757,11.17803282,13.43201041,17.89230108,22.19984603,24.39060249,29.27565974,35.47323817,41.13420532,51.90123041,72.891232,80.40327012,98.50522355,118.9458094,155.0482176
0,0.044581545,0.386664715,0.494542326,0.858791614,1.027906193,1.312456252,1.632832173,2.03967628,2.668692729,3.318616786,4.329347574,5.407722682,6.665014925,7.186983468,8.903662398,10.48346349,12.33869575,15.84008807,20.67392231,25.46509276,29.82180432,34.1374311,44.70117068,57.33803791,70.04388173,81.36390852,105.3902459,119.3158608,152.2520719
0,0.17982571,0.320917834,0.433179318,0.806433052,1.112327937,1.195402323,1.63841251,2.24223133,2.387894629,3.423245467,3.845738443,4.722399275,5.523506154,7.913252738,8.736000368,10.07360076,12.81578356,16.64709334,21.01241226,24.84097587,30.05000239,38.22822144,44.13734773,50.30082072,70.91545121,79.15276092,103.4451324,111.1936708,160.8614795
0,0.08676863,0.3534567,0.462520765,0.693818314,1.085390813,1.383220177,1.643392535,2.161414427,2.900424789,3.526011005,4.116408356,5.263484954,5.533373099,7.222174323,8.867030548,10.98923314,13.11893592,15.18673322,20.2838165,24.81588534,30.62743446,39.8942247,41.26937869,54.35045071,61.4291266,89.17565565,107.6050719,127.3889566,149.8300415
0,0.165122693,0.299785833,0.562922335,0.882751911,0.997088956,1.196361145,1.880630988,2.101367262,2.583931987,3.162262348,3.701461445,5.116117552,5.67664556,7.37464575,9.281551816,10.12009517,13.18422555,15.29233992,20.22435147,25.44101603,30.63225068,40.57697111,46.81937963,59.16476246,62.6380134,80.84325327,103.2419015,118.2329632,162.174656
0,0.160985898,0.203632222,0.466107261,0.827371596,0.929727699,1.469517362,1.638786244,2.027354614,2.918456193,3.06670241,4.360452117,5.283158542,6.50729657,7.923379792,9.555101905,10.72687294,12.27915457,15.8511643,20.08859592,26.71977399,29.60900572,34.72017964,41.12610381,54.31233733,62.72324781,84.40691348,98.58298229,121.6115452,137.8121397
